City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Guerrero Negro,MX,27.9769,-114.0611,66.96,79,0,20.65,clear sky
325,Beni Suef,EG,29.0731,31.0979,71.64,70,0,9.55,clear sky
326,Lavrentiya,RU,65.5833,-171.0,52.95,67,28,8.21,scattered clouds
327,Livingston,GB,55.9029,-3.5226,53.28,87,0,9.22,clear sky
328,Cuyo,PH,10.8525,121.0086,83.71,77,81,13.4,broken clouds
329,Umm Kaddadah,SD,13.6017,26.6876,80.44,63,91,11.54,overcast clouds
330,Kamenka,RU,51.3223,42.7678,61.34,94,100,6.22,light rain
331,Ugoofaaru,MV,5.6667,73.0,82.54,75,100,15.75,overcast clouds
332,Abha,SA,18.2164,42.5053,64.65,72,75,0.0,broken clouds
333,Mersing,MY,2.4312,103.8405,80.51,89,40,1.14,scattered clouds
334,Atar,MR,20.5169,-13.0499,90.5,35,5,10.6,clear sky
335,Qasigiannguit,GL,68.8193,-51.1922,46.65,92,98,4.32,overcast clouds
336,Gazojak,TM,41.1875,61.4036,84.78,23,0,11.56,clear sky
337,Makakilo City,US,21.3469,-158.0858,82.72,67,75,21.85,broken clouds
338,Bima,ID,-8.4667,118.7167,83.07,59,99,6.64,overcast clouds
339,Raudeberg,NO,61.9875,5.1352,50.67,77,100,10.92,overcast clouds
340,Chapais,CA,49.7834,-74.8492,58.78,70,91,2.71,overcast clouds
341,Broome,US,42.2506,-75.833,68.0,95,75,3.0,mist
342,Klyuchi,RU,52.2667,79.1667,60.76,66,98,1.86,overcast clouds
343,Russell,US,32.3502,-85.1999,79.88,94,100,4.83,overcast clouds
